model,problem_id,problem_title,status,processing_time,rounds,total_candidates,difficulty
deepseek-r1-distill,shortest-distance-after-road-addition-queries-ii,,unsolved,2291.177201271057,0,39,Hard
deepseek-r1-distill,find-the-count-of-monotonic-pairs-i,,unsolved,1335.6973683834076,0,21,Hard
deepseek-r1-distill,find-the-count-of-monotonic-pairs-ii,,unsolved,3011.8485310077667,0,36,Hard
deepseek-r1-distill,maximum-value-sum-by-placing-three-rooks-i,,unsolved,2186.6371693611145,0,39,Hard
deepseek-r1-distill,maximum-value-sum-by-placing-three-rooks-ii,,unsolved,3103.781751394272,0,39,Hard
deepseek-r1-distill,find-the-largest-palindrome-divisible-by-k,,unsolved,2620.4220163822174,0,39,Hard
deepseek-r1-distill,count-substrings-that-satisfy-k-constraint-ii,,solved,596.3654496669769,0,9,Hard
deepseek-r1-distill,final-array-state-after-k-multiplication-operations-ii,,solved,1293.1059257984161,0,15,Hard
deepseek-r1-distill,count-almost-equal-pairs-ii,,unsolved,2696.702313184738,0,34,Hard
deepseek-r1-distill,constructing-two-increasing-arrays,,unsolved,3507.114243030548,0,39,Hard
qwen2-5-coder,shortest-distance-after-road-addition-queries-ii,,unsolved,1318.57146525383,0,39,Hard
qwen2-5-coder,find-the-count-of-monotonic-pairs-i,,unsolved,937.1926386356354,0,30,Hard
qwen2-5-coder,find-the-count-of-monotonic-pairs-ii,,unsolved,1191.9285726547241,0,39,Hard
qwen2-5-coder,maximum-value-sum-by-placing-three-rooks-i,,unsolved,971.5295219421387,0,39,Hard
qwen2-5-coder,maximum-value-sum-by-placing-three-rooks-ii,,unsolved,1089.5936365127563,0,39,Hard
qwen2-5-coder,find-the-largest-palindrome-divisible-by-k,,unsolved,1063.7008395195007,0,39,Hard
qwen2-5-coder,count-substrings-that-satisfy-k-constraint-ii,,unsolved,729.3936502933502,0,24,Hard
qwen2-5-coder,final-array-state-after-k-multiplication-operations-ii,,unsolved,624.7771081924438,0,24,Hard
qwen2-5-coder,count-almost-equal-pairs-ii,,unsolved,895.6746597290039,0,39,Hard
qwen2-5-coder,constructing-two-increasing-arrays,,unsolved,1132.7323956489563,0,39,Hard
qwq-preview,shortest-distance-after-road-addition-queries-ii,,unsolved,1248.1404855251312,0,13,Hard
qwq-preview,find-the-count-of-monotonic-pairs-i,,solved,1120.216741323471,0,24,Hard
qwq-preview,find-the-count-of-monotonic-pairs-ii,,unsolved,2297.828238248825,0,35,Hard
qwq-preview,maximum-value-sum-by-placing-three-rooks-i,,unsolved,885.0828320980072,0,13,Hard
qwq-preview,maximum-value-sum-by-placing-three-rooks-ii,,unsolved,1436.716169834137,0,25,Hard
qwq-preview,find-the-largest-palindrome-divisible-by-k,,unsolved,888.3411209583282,0,26,Hard
qwq-preview,count-substrings-that-satisfy-k-constraint-ii,,unsolved,624.3114674091339,0,0,Hard
qwq-preview,final-array-state-after-k-multiplication-operations-ii,,unsolved,933.6276748180389,0,26,Hard
qwq-preview,count-almost-equal-pairs-ii,,unsolved,1653.2730736732483,0,25,Hard
qwq-preview,constructing-two-increasing-arrays,,unsolved,2049.4735612869263,0,35,Hard
